feature,category,mean_abs_shap_rev,mean_abs_shap_cog,lgb_gain_rev,lgb_split_rev
cos_y1,Fourier Năm,0.23278648084275463,0.23760507361286648,4820.312625569291,841
t_days,Xu Hướng & Chế Độ,0.20185693392628845,0.20025389784610778,3515.736932126805,2815
doy,Lịch Cơ Bản,0.09557102810660156,0.06801144606455305,1651.1194974249229,807
days_to_eom,EOM/Ngày Lương,0.0525996432936794,0.057078344451336076,1289.6035712165758,706
payday_intensity,EOM/Ngày Lương,0.0524601208159372,0.05999154181448853,989.5011282339692,209
sin_m1,Fourier Tháng,0.04256878386218515,0.03900689047843134,410.3482832023874,587
t_years,Xu Hướng & Chế Độ,0.03029206324050366,0.030341835028516815,511.9847062109038,440
cos_m1,Fourier Tháng,0.02683546151965564,0.018964234261845406,529.6141487583518,744
sin_y1,Fourier Năm,0.02435325461311659,0.03483963861286417,401.1110831294209,707
day,Lịch Cơ Bản,0.02362373054472388,0.02242107422422431,383.4633832462132,700
is_q2,Lịch Cơ Bản,0.023358936872967914,0.01452579578854343,216.18247240036726,39
sin_w1,Fourier Tuần,0.022538362481887356,0.022808409188024594,180.08085134625435,667
dow,Lịch Cơ Bản,0.021942120453587212,0.022406459313896704,167.27478646393865,778
year,Lịch Cơ Bản,0.021673464230529897,0.016855102037235368,391.0357257798314,462
cos_w1,Fourier Tuần,0.01836854923274552,0.01853197910763569,156.16061468515545,634
promo_urban_blowout_until,Khuyến Mãi,0.014462292370448007,0.0012117461955039562,110.28102839551866,134
sin_y3,Fourier Năm,0.013799112144586744,0.008842928987622475,409.13100241683424,825
sin_m2,Fourier Tháng,0.012450959934964843,0.014558501961496708,157.22326462343335,907
sin_y2,Fourier Năm,0.011929862966792448,0.01176810000671527,180.75509870238602,645
cos_y3,Fourier Năm,0.010883240181921898,0.007160954039738366,247.15871055144817,1207
cos_y2,Fourier Năm,0.009830206826432285,0.004737265756558302,139.25302750617266,398
cos_y4,Fourier Năm,0.00874055912872391,0.006244111965355685,128.68073259387165,596
cos_y5,Fourier Năm,0.008304925980046774,0.00865199791622565,160.18361857160926,928
sin_y4,Fourier Năm,0.008134908740874762,0.006618045270357504,200.9279210474342,741
sin_w2,Fourier Tuần,0.007971365089609286,0.0071724707850621214,54.202853463590145,435
sin_y5,Fourier Năm,0.006807909111443615,0.00849055541159613,170.57636765390635,823
is_odd_year,Lịch Cơ Bản,0.006057669313121209,0.0035444805028964996,51.787276240997016,342
promo_year_end_since,Khuyến Mãi,0.005295510622582727,0.002069678941561049,55.804227240383625,121
month,Lịch Cơ Bản,0.004676398355743428,0.016396879881520415,58.01843696832657,98
promo_urban_blowout_since,Khuyến Mãi,0.0041854547094597235,0.00034705755884709393,26.1675166208297,76
tet_days_diff,Lễ Tết,0.0040497799339673885,0.0066061146129932765,49.415262087248266,429
quarter,Lịch Cơ Bản,0.004001012194327877,0.003921281658719979,92.52836487442255,9
cos_m2,Fourier Tháng,0.0038517242604038733,0.0037007552473478414,65.84131635725498,563
days_from_som,EOM/Ngày Lương,0.0037276504808011856,0.004188286272663964,50.15838883444667,92
promo_urban_blowout,Khuyến Mãi,0.0033351478882558574,7.166870984089663e-05,44.96218194812536,27
dim,EOM/Ngày Lương,0.003211184947725186,0.004209850634953319,20.735865922644734,101
tet_intensity,Lễ Tết,0.0031790006058002515,0.0037147610732436442,31.64274876564741,226
cos_w2,Fourier Tuần,0.002659844650568081,0.002912672730708968,25.357878069393337,261
q3_odd_year,Lịch Cơ Bản,0.0015491292467911212,0.0015169744929730594,8.208860216662288,45
promo_year_end_until,Khuyến Mãi,0.0013689901880807357,0.0025990514855657914,13.93289066851139,102
promo_mid_year_until,Khuyến Mãi,0.001238912274510571,0.0006533175205081785,4.680409263819456,43
tet_in_30,Lễ Tết,0.0011728334907136762,0.0004156705116919221,2.855679312720895,19
promo_fall_launch_until,Khuyến Mãi,0.0011242350547730389,0.004509524605279569,9.486429141834378,46
